OldVantage,NewVantage,Azure,DataType,CalcFormula,IsEditable,IsCalculated,Notes,,,,,,
Tag_Area,Area,Tag_Area,Short Text,,1,0,,,"DbColumnName, OldVantageName, DefaultDisplayName, AzureName, DataType, IsEditable, IsCalculated, Notes",,,,
UDFEleven,AssignedTo,UDF11,Short Text,,1,0,,,,,,,
Tag_Aux1,Aux1,Tag_Aux1,Short Text,,1,0,,,,,,,
Tag_Aux2,Aux2,Tag_Aux2,Short Text,,1,0,,,,,,,
Tag_Aux3,Aux3,Tag_Aux3,Short Text,,1,0,,,,,,,
None. Will not be included in import or export,AzureUploadUtcDate,Timestamp,Date/Time,,0,0,When user submits to Azure - official date used in Power Bi dashboard,,,,,,
Val_Base_Unit,BaseUnit,Val_Base_Unit,Number,,1,0,,,,,,,
Val_BudgetedHours_Group,BudgetHoursGroup,Val_BudgetedHours_Group,Number,,1,0,,,,,,,
Val_BudgetedHours_ROC,BudgetHoursROC,Val_BudgetedHours_ROC,Number,,1,0,,,,,,,
Val_BudgetedHours_Ind,BudgetMHs,Val_BudgetedHours_Ind,Number,,1,0,,,,,,,
Tag_CONo,ChgOrdNO,Tag_CONo,Short Text,,1,0,,,,,,,
VAL_UDF_Two,ClientBudget,VAL_UDF_Two,Number,,1,0,,,,,,,
VAL_UDF_Three,ClientCustom3,VAL_UDF_Three,Number,,1,0,,,,,,,
VAL_Client_Earned_EQ-QTY,ClientEquivEarnQTY,VAL_Client_Earned_EQ-QTY,Short Text,,1,0,,,,,,,
VAL_Client_EQ-QTY_BDG,ClientEquivQty,Val_Client_Eq_Qty_Bdg,Number,,1,0,,,,,,,
Catg_ComponentType,CompType,Catg_ComponentType,Short Text,,1,0,,,,,,,
UDFThirteen,CreatedBy,UDF13,Short Text,,1,0,,,,,,,
Trg_DateTrigger,DateTrigger,None. Will not be included in upload or sync,Number,,1,0,,,,,,,
Tag_Descriptions,Description,Tag_Descriptions,Short Text,,1,0,,,,,,,
Dwg_PrimeDrawingNO,DwgNO,Dwg_PrimeDrawingNO,Short Text,,1,0,,,,,,,
Val_EarnedHours_ROC,EarnedMHsRoc,None. Will not be included in upload or sync,Number,,1,0,,,,,,,
Val_Earn_Qty,EarnedQtyCalc,None. Will not be included in upload or sync,Number,PercentEntry,0,1,"format 0-1 in import, export. Format 0-100% in datagrid display",,,,,,
Val_EarnedHours_Ind,EarnMHsCalc,Val_EarnedHours_Ind,Number,PercentEntry*BudgetMHs,0,1,"format 0-1 in import, export. Format 0-100% in datagrid display",,,,,,
Val_EarnedQty,EarnQtyEntry,Val_EarnedQty,Number,,1,0,,,,,,,
Tag_EqmtNo,EqmtNO,Tag_EqmtNo,Short Text,,1,0,,,,,,,
Val_EQ-QTY,EquivQTY,Val_EQ-QTY,Short Text,,1,0,,,,,,,
Val_EQ_UOM,EquivUOM,Val_EQ_UOM,Short Text,,1,0,,,,,,,
Tag_Estimator,Estimator,Tag_Estimator,Short Text,,1,0,,,,,,,
Sch_Finish,Finish,None. Will not be included in upload or sync,Date/Time,,1,0,will make calculated later when schedule module is developed. ,,,,,,
HexNO,HexNO,HexNO,Number,,1,0,,,,,,,
Tag_Tracing,HtTrace,Tag_Tracing,Short Text,,1,0,,,,,,,
Tag_Insulation_Typ,InsulType,Tag_Insulation_Typ,Short Text,,1,0,,,,,,,
UDFTwelve,UpdatedBy,UDF12,Short Text,,1,0,,,,,,,
Tag_LineNo,LineNO,Tag_LineNo,Short Text,,1,0,,,,,,,
Tag_Matl_Spec,MtrlSpec,Tag_Matl_Spec,Short Text,,1,0,,,,,,,
"None. created upon upload, sync to Azure (current username)","None. created upon upload, sync to Azure (current username)",UserID,Short Text,,0,0,"created upon upload, sync to Azure",,,,,,
Notes_Comments,Notes,Notes_Comments,Long Text,,1,0,,,,,,,
Tag_Paint_Code,PaintCode,Tag_Paint_Code,Short Text,,1,0,,,,,,,
Val_Percent_Earned,PercentCompleteCalc,None. Will not be included in upload or sync,Number,PercentEntry,0,1,"format 0-1 in import, export. Format 0-100% in datagrid display",,,,,,
Val_Perc_Complete,PercentEntry,Val_Perc_Complete,Number,,1,0,,,,,,,
Catg_PhaseCategory,PhaseCatagory,Catg_PhaseCategory,Short Text,,1,0,,,,,,,
Tag_Phase Code,PhaseCode,Tag_PhaseCode,Short Text,,1,0,,,,,,,
Tag_Pipe_Grade,PipeGrade,Tag_Pipe_Grade,Short Text,,1,0,,,,,,,
Val_Pipe_Size1,PipeSize1,Val_Pipe_Size1,Number,,1,0,,,,,,,
Val_Pipe_Size2,PipeSize2,Val_Pipe_Size2,Number,,1,0,,,,,,,
Val_Prev_Earned_Hours,PrevEarnMHs,None. Will not be included in upload or sync,Number,,1,0,,,,,,,
Val_Prev_Earned_Qty,PrevEarnQTY,None. Will not be included in upload or sync,Number,,1,0,,,,,,,
None. Will not be included in import or export,ProgDate,Val_ProgDate,Date/Time,,0,1,timestamp when user clicks to submit progress to local db,,,,,,
Tag_ProjectID,ProjectID,Tag_ProjectID,Short Text,,1,0,,,,,,,
Val_Quantity,Quantity,Val_Quantity,Number,,1,0,,,,,,,
Dwg_RevisionNo,RevNO,Dwg_RevisionNo,Short Text,,1,0,,,,,,,
Tag_RFINo,RFINO,Tag_RFINo,Short Text,,1,0,,,,,,,
Val_ROC_BudgetQty ,ROCBudgetQTY,Val_ROC_BudgetQty,Number,,1,0,needs to be same as Quantity on export,,,,,,
Tag_ROC_ID,ROCID,None. Will not be included in upload or sync,Number,,1,0,,,,,,,
LookUP_ROC_ID,ROCLookupID,None. Will not be included in upload or sync,Short Text,"ProjectID & ""|"" & CompType & ""|"" & PhaseCatagory & ""|"" & ROCStep",0,1,,,,,,,
Val_ROC_Perc,ROCPercent,None. Will not be included in upload or sync,Number,,1,0,,,,,,,
Catg_ROC_Step,ROCStep,Catg_ROC_Step,Short Text,,1,0,,,,,,,
Tag_Sch_ActNo,SchedActNO,Tag_Sch_ActNo,Short Text,,1,0,,,,,,,
Sch_Actno,SecondActno,Sch_Actno,Short Text,,1,0,,,,,,,
Dwg_SecondaryDrawingNO,SecondDwgNO,Dwg_SecondaryDrawingNO,Short Text,,1,0,,,,,,,
Tag_Service,Service,Tag_Service,Short Text,,1,0,,,,,,,
Tag_ShopField,ShopField,Tag_ShopField,Short Text,,1,0,,,,,,,
Dwg_ShtNo,ShtNO,Dwg_ShtNo,Short Text,,1,0,,,,,,,
Sch_Start,Start,Sch_Start,Date/Time,,1,0,will make calculated later when schedule module is developed. ,,,,,,
Sch_Status,Status,Sch_Status,Short Text,"PercentEntry = 0: ""Not Started"", PercentEntry >0, <100: ""In Progress"", PercentEntry = 100: ""Complete""",0,1,"Not Started, In Progress, Complete base on PercentEntry",,,,,,
Tag_SubArea,SubArea,Tag_SubArea,Short Text,,1,0,,,,,,,
Tag_PjtSystem,PjtSystem,Tag_PjtSystem,Short Text,,1,0,,,,,,,
Tag_PjtSystemNo,PjtSystemNO,None. Will not be included in upload or sync,Short Text,,1,0,,,,,,,
Tag_TagNo,TagNO,Tag_TagNo,Short Text,,1,0,,,,,,,
UDFOne,UDF1,UDF1,Short Text,,1,0,,,,,,,
UDFTen,UDF10,UDF10,Short Text,,1,0,,,,,,,
UDFFourteen,UDF14,UDF14,Short Text,,1,0,,,,,,,
UDFFifteen,UDF15,UDF15,Short Text,,1,0,,,,,,,
UDFSixteen,UDF16,UDF16,Short Text,,1,0,,,,,,,
UDFSeventeen,UDF17,UDF17,Short Text,,1,0,,,,,,,
UDFEighteen,UDF18,UDF18,Short Text,,1,0,,,,,,,
UDFTwo,UDF2,UDF2,Short Text,,1,0,,,,,,,
UDFTwenty,UDF20,UDF20,Short Text,,1,0,,,,,,,
UDFThree,UDF3,UDF3,Short Text,,1,0,,,,,,,
UDFFour,UDF4,UDF4,Short Text,,1,0,,,,,,,
UDFFive,UDF5,UDF5,Short Text,,1,0,,,,,,,
UDFSix,UDF6,UDF6,Short Text,,1,0,,,,,,,
UDFSeven,UDF7,UDF7,Short Text,,1,0,,,,,,,
UDFEight,UDF8,UDF8,Short Text,,1,0,,,,,,,
UDFNine,UDF9,UDF9,Short Text,,1,0,,,,,,,
UDFNineteen,UniqueID,UDF19,Short Text,,0,0,"If null on import, calculated using ""i"" & base time at time of import (yymmddhhnnss) & iterated integer from 1 to n (number of records import without UDFNineteen value) & last three characters of current user's username. Example: i2510300738271ano, i2510300738272ano, etc",,,,,,
Val_UOM,UOM,Val_UOM,Short Text,,1,0,,,,,,,
Val_TimeStamp,WeekEndDate,Val_TimeStamp,Date/Time,,0,1,Week Ending Date set when user submits to Local or Azure,,,,,,
Tag_WorkPackage,WorkPackage,Tag_WorkPackage,Short Text,,1,0,,,,,,,
Tag_XRAY,XRay,Tag_XRAY,Number,,1,0,,,,,,,
